name,place_id,latitude,longitude,address,rating
Nakuru Vet House Services,ChIJ-wlqVNONKRgRROoa3GyGeLE,-0.2779011,36.0743639,"Nakuru, Kenya",5
Nairobi Veterinary Centre (Nakuru Branch),ChIJW31_QZGNKRgRg1mg8IpeOC4,-0.2849397,36.0688464,"Kenyatta Ave, Nakuru, Kenya",4.3
Nakuru Petcare Surgery Limited,ChIJ5ZqzgIuNKRgRBl6QUg8cW10,-0.2856516000000001,36.0839638,"El Molo Drive Off Oginga Odinga Avenue, Section 58, Kenya",4.5
Nakuru animal veterinary services,ChIJU9HbEsqNKRgRQAKgwtaaGCg,-0.2613531,36.0186635,"Nakuru, Kenya",N/A
Veterinary Resource Centre,ChIJzcG0ppaNKRgRvUvUIU2PogM,-0.2837508,36.0720144,"P38C+FRC, Kenyatta Ln, Nakuru, Kenya",5
Simbaa Veterinary Clinic and Services,ChIJmSrNJqWZKxgR5QvZ8KzTDF8,-0.2877965,36.0638981,"Westside Mall, Nakuru, Kenya",N/A
Simon Njugush veterinary clinic,ChIJMWnKmCGNKRgRV4pWNTr-wU0,-0.2917156,36.0295261,"Nakuru, Kenya",N/A
(Vintage veterinary phamarcy )..Emergency vet Doctor and pets,ChIJG4WXFkqNKRgRlcVKMBDoFuc,-0.2697135,36.0348327,"Kiamunyi olive center, Kenya",5
Dr. Muhoro - Resident Veterinarian,ChIJJ-ut__WRKRgR3LYGS_dJZpk,-0.3088111000000001,36.1360582,"mwariki estate, Nakuru, Kenya",N/A
Vintage Agrovet Veterinary And A.I,ChIJZbvQXPeMKRgRtKt_YZro4mk,-0.2696604,36.0343335,"P2JM+4PG, Nakuru, Kenya",5
Veterinary Surgeon,ChIJk-WZIj-SKRgR2DI0SLEzS94,-0.2890936,36.1151954,"P468+938, Nakuru, Kenya",3
Dr. K. A. Shah Veterinary Clinic,ChIJQ5NZdesBgRcRe2m0-NGf9os,0.5043088,35.2851559,"Elgon View Rd, Off Ramogi Dr, Eldoret, Kenya",4.9
"Northrift veterinary clinic,Eldoret",ChIJ8TAIC5oBgRcRAldvo7ADRXc,0.5005434,35.2842877,"Elgonview drive, Eldoret, Kenya",4.5
Eldoret Veterinary Services,ChIJJ74xBqMBgRcRMK9VO6w1Eug,0.5159908,35.2774997,"G78G+9XX, Ronald Ngala St, Eldoret, Kenya",5
"Nevas Veterinary Services Eldoret c/o DR. MISEDA MISEDA, BVM,Vet Surgeon",ChIJi8I_D6MBgRcRrx0C8gaZ3RY,0.5146213,35.2696513,"Tamarind Place RONALD NGALA Next to Mt. Kenya University ELDORET, Kapseret, Kenya",4
Kapsaos Veterinary Services,ChIJLQbGKXEBgRcRMDW1LY3eIOg,0.5142774999999999,35.2697802,"G779+PW6, Eldoret, Kenya",N/A
Baitany Agrovet Ltd.,ChIJZX-8DV0BgRcRXNiGbyfX6OM,0.5384405999999999,35.2939001,"G7QV+9HJ, Kitale - Cherangani Rd, Eldoret, Kenya",3
Veterinary Investigation Laboratory Eldoret,ChIJqS-rHqgBgRcR0Tnip66GSsM,0.5277485,35.2802438,"G7HJ+43H, Eldoret, Kenya",3.9
"LifeCare Multispeciality Hospitals: Best Hospital in Eldoret | Maternity, Radiology, Orthopedic, Imaging, Diagnostic Centre",ChIJwZ-hFSABgRcR_jh3oVtalkA,0.5164115,35.2820319,"G78J+HVH, Eldoret-Malaba Rd, Eldoret, Kenya",4.8
"Mediheal Hospital and Fertility Centre, Eldoret",ChIJ008474wBgRcRlR1VqGnh590,0.5078182,35.2953353,"Nandi Road, Box 7905, Malaba Rd, Eldoret, Kenya",4.1
Eldoret Hospital Doctor's Plaza,ChIJoelrZqIBgRcRknE3ZrIZS3I,0.5166202999999999,35.2796328,"Malaba Rd, Eldoret, Kenya",3.8
Reale Hospital,ChIJ99h1P78BgRcRGUAoKQuR544,0.5075212,35.2763941,"Nyerere Rd, Eldoret, Kenya",3.4
Joselica Veterinary Services,ChIJUbN5NldHLxgRHKyMEuswQvY,-1.1468497,36.959134,"Stall 3, Ground Floor, Gachiengu Building, Opposite Ruiru Main Stage, Njiiri Karago Road, Ruiru, Kenya",4.1
Max Vetcare,ChIJg3YAkbZHLxgRaornhBbRR58,-1.1298683,36.9832478,"Dam view street, Ruiru, Kenya",4.9
HALOPETS VETERINARY CLINIC,ChIJn00DYY9HLxgRzb7J9C8FcMc,-1.105803,36.993366,"Kenyatta Road, Juja, Kenya",4.7
Jakaranda Vet Clinic and Surgery - Thika Branch,ChIJoXg10jpPLxgR2gh0WIommAY,-1.0306506,37.0718047,"Opp Thika School For the Visually, Haile Selassie Rd, Thika, Kenya",4.1
Ace Vet Care Kenya,ChIJM1rYlyT5TwYRxoKuq96mM1k,-1.1605823,36.8814029,"50 Kamiti Rd, Kenya",4.9
Farmcure Veterinary Doctors Clinic,ChIJAYtVbVw_LxgRJxFTh87WeC4,-1.1623844,36.9566756,"Thika Rd, Ruiru, Kenya",4.2
The Animal Clinic Of Nairobi,ChIJhfY6bl48LxgRIw8NKyF0lWM,-1.1722461,36.8296856,"RRHH+4V3, Kikinga House, Opposite Clean Shelf Supermarket, Kiambu Rd, Kiambu, Kenya",5
Alphapet Veterinary Clinic,ChIJBQZl5HQWLxgRk5H-z0KGpLU,-1.2336863,36.8651063,"cedar court, Garden Estate Rd, Nairobi, Kenya",4.7
Kikuyu Veterinary,ChIJk6DnEUofLxgRZQ1v_ZE6N_g,-1.2381466,36.6666245,"Kikuyu exit, Southern bypass, Rungiri, Kenya",4.8
North Kenya Veterinary Services,ChIJs373u2QbKBgR06dBUP08Ag4,-0.0616594,37.0453851,"Nanyuki, Kenya",4.9
Directorate of Veterinary Services,ChIJxVlB_Q4ZLxgRXN7YmdjhpMA,-1.2595333,36.731101,"PPRJ+5CQ, Nairobi, Kenya",4.1
Jaymaish vet care boarding facility,ChIJBUBhU0IjLxgRXn4Tjeg7-OE,-1.2042136,36.7546113,"Ruaka, Kenya",5
PRESTIGE VETCARE LTD veterinary clinic and pet shop,ChIJjc5ujEM9LxgRJpGnLRtp9tY,-1.2307241,36.8719366,"Mountain mall thome road, THOME, Nairobi, Kenya",4.8
